id,Lst_1,Z-score,p-value,Lst_1_2,NDVISAMPLE,NDBISAMPLE
89827,59.515808105468750,-0.6555999546,0.5120815548,59.515808105468750,0.272080987691879,0.090415313839912
89826,58.887237548828125,-0.8205884357,0.4118807370,58.887237548828125,0.290616035461426,0.158928066492081
89829,59.700195312500000,-0.5620184380,0.5741034569,59.700195312500000,0.246791198849678,0.129113018512726
89828,59.751800537109375,-0.5430537048,0.5870928263,59.751800537109375,0.287299066781998,0.134856909513474
89831,59.159301757812493,-0.7867601765,0.4314222699,59.159301757812493,0.238287061452866,0.125706553459167
89830,59.358886718750000,-0.7041143471,0.4813615660,59.358886718750000,0.283552497625351,0.106205448508263
89849,59.967163085937507,-0.4299682097,0.6672187665,59.967163085937507,0.248592242598534,0.093077771365643
89848,60.099578857421875,-0.3864280567,0.6991796746,60.099578857421875,0.238381758332253,0.104193136096001
89851,59.403228759765625,-0.6293002882,0.5291524827,59.403228759765625,0.214862301945686,0.038598153740168
89850,59.595123291015625,-0.5809959193,0.5612432038,59.595123291015625,0.276989072561264,0.141552194952965
89853,60.195129394531250,-0.3282608513,0.7427144418,60.195129394531250,0.165738686919212,0.010846560820937
89852,59.596954345703125,-0.4836014810,0.6286687235,59.596954345703125,0.245345279574394,0.134717255830765
89855,60.286956787109375,-0.3277117352,0.7431296296,60.286956787109375,0.102828159928322,-0.023875927552581
89854,60.664703369140625,-0.2518399377,0.8011647861,60.664703369140625,0.091650798916817,-0.033004093915224
89841,59.190765380859375,-0.7266329251,0.4674508530,59.190765380859375,0.226545199751854,0.116908289492130
89840,58.957611083984375,-0.8267005462,0.4084068117,58.957611083984375,0.249632954597473,0.108131885528564
89843,59.477050781250000,-0.5041753351,0.6141381713,59.477050781250000,0.288451194763184,0.146672144532204
89842,59.772064208984375,-0.6413324439,0.5213067145,59.772064208984375,0.221094682812691,0.075137190520763
89845,59.672546386718750,-0.4755568816,0.6343901002,59.672546386718750,0.167188763618469,0.118055552244186
89844,59.430908203125000,-0.5086884866,0.6109705939,59.430908203125000,0.257922798395157,0.109335549175739
89847,60.105102539062493,-0.4081994667,0.6831272396,60.105102539062493,0.241876393556595,0.089353084564209
89846,60.119781494140625,-0.4440962444,0.6569730016,60.119781494140625,0.215094923973083,0.047943130135536
89801,60.064636230468750,-0.3350699267,0.7375723379,60.064636230468750,0.293700546026230,0.134173080325127
89800,60.095886230468750,-0.4168616520,0.6767796044,60.095886230468750,0.220682755112648,0.099954873323441
89803,59.635681152343750,-0.5400308357,0.5891757672,59.635681152343750,0.236501723527908,0.108549945056438
89802,60.364044189453125,-0.4236945586,0.6717885841,60.364044189453125,0.178782895207405,0.043383315205574
89805,59.127868652343750,-0.7629597377,0.4454874079,59.127868652343750,0.225097760558128,0.149820610880852
89804,59.307189941406250,-0.7263344908,0.4676337401,59.307189941406250,0.220763668417931,0.151209682226181
89807,59.068664550781250,-0.7007723948,0.4834450682,59.068664550781250,0.284228205680847,0.158730730414391
89806,59.092742919921875,-0.7580799753,0.4484031067,59.092742919921875,0.283729523420334,0.153443738818169
89793,60.556610107421875,-0.4354703570,0.6632210510,60.556610107421875,0.225040435791016,0.124321371316910
89792,60.281433105468750,-0.3492322811,0.7269149332,60.281433105468750,0.235491111874580,0.138348564505577
89795,59.430908203125000,-0.5185141778,0.6040995707,59.430908203125000,0.289266914129257,0.141873225569725
89794,59.392150878906250,-0.3658319146,0.7144905038,59.392150878906250,0.308590620756149,0.162055611610413
89797,60.046264648437507,-0.3207815043,0.7483759767,60.046264648437507,0.238535061478615,0.078240804374218
89796,60.123474121093750,-0.3878988533,0.6980908868,60.123474121093750,0.199338153004646,0.069297440350056
89799,59.816253662109375,-0.4162980594,0.6771919124,59.816253662109375,0.259184896945953,0.114982575178146
89798,59.904602050781250,-0.3590842454,0.7195320671,59.904602050781250,0.253018826246262,0.085493847727776
89817,59.486267089843750,-0.6394612254,0.5225229304,59.486267089843750,0.161707177758217,0.144056797027588
89816,59.795989990234375,-0.4715891698,0.6372200586,59.795989990234375,0.193188235163689,0.155830487608910
89819,58.733428955078125,-0.8275985848,0.4078978700,58.733428955078125,0.293144494295120,0.159646838903427
89818,59.016876220703125,-0.7693173035,0.4417049675,59.016876220703125,0.277338325977325,0.145112946629524
89821,58.820556640625000,-0.8669887869,0.3859481535,58.820556640625000,0.272712647914886,0.162517443299294
